State,Name,Type,Category,Cost,Rating,Location
Tamil Nadu,Marina Beach Walk,Activity,Nature & Relaxation,200,4.2,Chennai
Tamil Nadu,Kapaleeshwarar Temple,Culture,Culture & Heritage,100,4.5,Chennai
Tamil Nadu,Express Avenue Shopping,Shopping,Shopping,2000,4.3,Chennai
Tamil Nadu,Chennai Delicacies Food Tour,Activity,Food & Culinary,1500,4.4,Chennai
Tamil Nadu,The Leela Palace Chennai,Hotel,Hotels & Stay,15000,4.8,Chennai
Tamil Nadu,ITC Grand Chola,Hotel,Hotels & Stay,18000,4.9,Chennai
Tamil Nadu,Taj Coromandel,Hotel,Hotels & Stay,12000,4.7,Chennai
Tamil Nadu,Hotel Savera,Hotel,Hotels & Stay,2500,4.1,Chennai
Tamil Nadu,Comfort Inn Chennai,Hotel,Hotels & Stay,1800,4.0,Chennai
Tamil Nadu,Street Food Chennai Tour,Activity,Food & Culinary,400,4.6,Chennai
Tamil Nadu,Fine Dining at Peshawri,Activity,Food & Culinary,3500,4.8,Chennai
Tamil Nadu,Meenakshi Amman Temple,Culture,Culture & Heritage,200,4.9,Madurai
Tamil Nadu,Gandhi Memorial Museum,Culture,Culture & Heritage,150,4.3,Madurai
Tamil Nadu,Heritage Madurai,Hotel,Hotels & Stay,5500,4.6,Madurai
Tamil Nadu,The Gateway Hotel Madurai,Hotel,Hotels & Stay,7000,4.5,Madurai
Tamil Nadu,Fortune Pandiyan Hotel,Hotel,Hotels & Stay,4800,4.4,Madurai
Tamil Nadu,Hotel Temple City,Hotel,Hotels & Stay,2200,4.0,Madurai
Tamil Nadu,Royal Court Hotel,Hotel,Hotels & Stay,1600,3.9,Madurai
Tamil Nadu,Madurai Street Food Walk,Activity,Food & Culinary,350,4.5,Madurai
Tamil Nadu,Murugan Idli Shop Experience,Activity,Food & Culinary,500,4.7,Madurai
Tamil Nadu,Isha Yoga Center,Culture,Culture & Heritage,500,4.8,Coimbatore
Tamil Nadu,Marudamalai Temple,Culture,Culture & Heritage,300,4.5,Coimbatore
Tamil Nadu,Vivanta Coimbatore,Hotel,Hotels & Stay,7500,4.6,Coimbatore
Tamil Nadu,Hotel CAG Pride,Hotel,Hotels & Stay,4000,4.3,Coimbatore
Tamil Nadu,Radisson Blu Coimbatore,Hotel,Hotels & Stay,9000,4.7,Coimbatore
Tamil Nadu,Hotel City Tower,Hotel,Hotels & Stay,2800,4.1,Coimbatore
Tamil Nadu,Surya International,Hotel,Hotels & Stay,1900,3.9,Coimbatore
Tamil Nadu,Annapoorna Restaurant Tour,Activity,Food & Culinary,300,4.4,Coimbatore
Tamil Nadu,That's Y Food Tasting,Activity,Food & Culinary,2500,4.6,Coimbatore
Tamil Nadu,Nilgiri Mountain Railway,Activity,Adventure,600,4.7,Ooty
Tamil Nadu,Botanical Gardens Visit,Activity,Nature & Relaxation,300,4.4,Ooty
Tamil Nadu,Savoy Ooty,Hotel,Hotels & Stay,9500,4.7,Ooty
Tamil Nadu,Fortune Resort Sullivan Court,Hotel,Hotels & Stay,6500,4.5,Ooty
Tamil Nadu,Sterling Ooty Fern Hill,Hotel,Hotels & Stay,5800,4.4,Ooty
Tamil Nadu,Hotel Lakeview,Hotel,Hotels & Stay,2400,4.0,Ooty
Tamil Nadu,Hotel Darshan,Hotel,Hotels & Stay,1700,3.8,Ooty
Tamil Nadu,Local Tea & Snacks Tour,Activity,Food & Culinary,250,4.3,Ooty
Tamil Nadu,Earl's Secret Fine Dining,Activity,Food & Culinary,3000,4.7,Ooty
Tamil Nadu,Coaker's Walk,Activity,Nature & Relaxation,200,4.6,Kodaikanal
Tamil Nadu,Kodaikanal Lake Boating,Activity,Adventure,500,4.5,Kodaikanal
Tamil Nadu,The Carlton Kodaikanal,Hotel,Hotels & Stay,10000,4.7,Kodaikanal
Tamil Nadu,Kodai Resort Hotel,Hotel,Hotels & Stay,6000,4.4,Kodaikanal
Tamil Nadu,Sterling Kodai Valley,Hotel,Hotels & Stay,5800,4.3,Kodaikanal
Tamil Nadu,Hotel Astoria,Hotel,Hotels & Stay,2600,4.0,Kodaikanal
Tamil Nadu,Villa Retreat,Hotel,Hotels & Stay,1500,3.8,Kodaikanal
Tamil Nadu,Homemade Chocolate Tour,Activity,Food & Culinary,400,4.5,Kodaikanal
Tamil Nadu,Cloud Street Dining,Activity,Food & Culinary,2800,4.6,Kodaikanal
Tamil Nadu,Ramanathaswamy Temple,Culture,Culture & Heritage,200,4.9,Rameswaram
Tamil Nadu,Pamban Bridge View,Activity,Nature & Relaxation,300,4.7,Rameswaram
Tamil Nadu,Daiwik Hotels Rameswaram,Hotel,Hotels & Stay,4800,4.4,Rameswaram
Tamil Nadu,Hotel Ashoka,Hotel,Hotels & Stay,3500,4.2,Rameswaram
Tamil Nadu,Hyatt Place Rameswaram,Hotel,Hotels & Stay,6500,4.6,Rameswaram
Tamil Nadu,Hotel Tamil Nadu,Hotel,Hotels & Stay,2000,3.9,Rameswaram
Tamil Nadu,Jothi Lodge,Hotel,Hotels & Stay,1500,3.7,Rameswaram
Tamil Nadu,Temple Prasadam Tasting,Activity,Food & Culinary,200,4.4,Rameswaram
Tamil Nadu,Seafood at Gujarat Bhavan,Activity,Food & Culinary,1800,4.5,Rameswaram
Tamil Nadu,Brihadeeswarar Temple,Culture,Culture & Heritage,150,4.8,Thanjavur
Tamil Nadu,Thanjavur Art Gallery,Culture,Culture & Heritage,300,4.3,Thanjavur
Tamil Nadu,Sangam Hotel Thanjavur,Hotel,Hotels & Stay,5000,4.5,Thanjavur
Tamil Nadu,Hotel Gnanam,Hotel,Hotels & Stay,3500,4.2,Thanjavur
Tamil Nadu,Hotel Victoriyah,Hotel,Hotels & Stay,2800,4.0,Thanjavur
Tamil Nadu,Parisutham Hotel,Hotel,Hotels & Stay,2100,3.9,Thanjavur
Tamil Nadu,Oriental Towers,Hotel,Hotels & Stay,1600,3.8,Thanjavur
Tamil Nadu,Traditional Thali Experience,Activity,Food & Culinary,300,4.6,Thanjavur
